,country,cases,deaths,recovered,active,population,lat,long
0,THA,599,1.0,44.0,554,68414135.0,13.04083303,101.5445559
1,JPN,1086,40.0,235.0,811,126451398.0,37.87307292,137.6597852
2,SGP,455,2.0,144.0,309,5888926.0,1.3585676130000002,103.8042098
3,NPL,2,0.0,1.0,1,29384297.0,28.38379832,84.10272648
4,MYS,1306,10.0,139.0,1157,31381992.0,3.9309068839999997,109.6971949
5,KHM,84,0.0,1.0,83,16204486.0,12.5621227,104.96757690000001
6,LKA,82,0.0,3.0,79,22409381.0,7.876654365,80.82227624
7,DEU,24873,94.0,266.0,24513,80594017.0,51.0992448,10.47375818
8,FIN,626,1.0,10.0,615,5491218.0,64.98666352,26.09634465
9,ARE,153,2.0,38.0,113,6072475.0,24.34099706,53.97632897
10,PHL,380,25.0,17.0,338,104256076.0,12.10826244,121.93718510000001
11,IND,396,7.0,27.0,362,1281935911.0,21.15185028,82.74863427
12,SWE,1934,21.0,16.0,1897,9960487.0,62.19118520000001,17.63563073
13,BEL,3401,75.0,263.0,3063,11491346.0,50.49042053,4.429765747
14,EGY,327,14.0,56.0,257,97041072.0,26.82542471,30.79186275
15,LBN,248,4.0,8.0,236,6229794.0,33.86861807,35.85466821
16,IRQ,233,20.0,57.0,156,39192111.0,33.21901998,43.65276391
17,OMN,55,0.0,17.0,38,3424386.0,21.44419994,55.91159468
18,AFG,40,1.0,1.0,38,34124811.0,33.93013936,67.68954228
19,BHR,332,2.0,149.0,181,1410942.0,26.02440013,50.53386478
20,KWT,188,0.0,27.0,161,2875422.0,29.31586029,47.48260849
21,DZA,201,17.0,65.0,119,40969443.0,28.03233938,1.6432377519999999
22,HRV,254,1.0,5.0,248,4292095.0,44.48165314,16.33771102
23,CHE,7245,98.0,131.0,7016,8236303.0,46.84081126,8.258983806
24,AUT,3244,16.0,9.0,3219,8754413.0,47.71313528,13.33474634
25,ISR,1071,1.0,37.0,1033,8299706.0,31.44838969,35.068211700000006
26,PAK,776,5.0,5.0,766,204924861.0,30.37775055,68.94667485
27,BRA,1593,25.0,2.0,1566,207353391.0,-14.23672557,-54.38839291
28,GEO,54,0.0,3.0,51,4926330.0,42.31029968,43.34038973
29,GRC,624,15.0,19.0,590,10768477.0,38.32233155,24.11980228
30,MKD,114,1.0,1.0,112,2103721.0,41.59124797,21.72686975
31,NOR,2383,7.0,1.0,2375,5320045.0,69.25525544,18.01372318
32,ROU,433,3.0,64.0,366,21529967.0,45.9566275,24.95092675
33,EST,326,0.0,2.0,324,1251581.0,58.57223338,24.94345137
34,SMR,160,20.0,4.0,136,33537.0,43.9296372,12.43797697
35,BLR,76,0.0,15.0,61,9549747.0,53.72384074,27.94258854
36,ISL,568,1.0,36.0,531,339747.0,64.96666087,-18.86182614
37,LTU,131,1.0,1.0,129,2823859.0,55.16278392,23.91101261
38,MEX,251,2.0,4.0,245,124574795.0,23.62955794,-101.93334399999999
39,NZL,66,0.0,0.0,66,4510327.0,-40.87806569,172.5168563
40,NGA,30,0.0,2.0,28,190632261.0,9.075780745,8.671077515
41,IRL,906,4.0,5.0,897,5011102.0,53.46108633,-8.136179165
42,LUX,798,8.0,6.0,784,594130.0,49.803472799999994,6.107513062000001
43,MCO,23,0.0,1.0,22,30645.0,43.74311792,7.40160212
44,QAT,494,0.0,33.0,461,2314307.0,25.36391398,51.18376712
45,ECU,789,14.0,3.0,772,16290913.0,-1.763467098,-83.45785386
46,AZE,65,1.0,10.0,54,9961396.0,40.14320974,47.50227482
47,ARM,194,0.0,2.0,192,3045191.0,40.07707682,45.01914311
48,DOM,202,3.0,0.0,199,10734247.0,18.77124665,-70.13417985
49,IDN,514,48.0,29.0,437,260580739.0,-2.6357561169999997,118.08721909999998
50,PRT,1600,14.0,5.0,1581,10839514.0,37.40041626,-15.94334103
51,AND,113,1.0,1.0,111,85702.0,42.51501587,1.568151896
52,LVA,139,0.0,1.0,138,1944643.0,56.86286102,24.59194014
53,MAR,115,4.0,3.0,108,33986655.0,28.67223748,-9.030622863
54,SAU,511,0.0,16.0,495,28571770.0,24.24455089,45.13214217
55,SEN,67,0.0,5.0,62,14668522.0,14.47449229,-14.37969133
56,ARG,225,4.0,3.0,218,44293293.0,-38.42173075,-63.62665422
57,CHL,632,1.0,8.0,623,17789267.0,-36.56706246,-71.36049374
58,JOR,112,0.0,1.0,111,10248069.0,31.28081787,37.04788004
59,UKR,73,3.0,1.0,69,44033874.0,48.79241852,31.13725142
60,HUN,131,6.0,16.0,109,9850845.0,47.15612793,19.48581791
61,LIE,37,0.0,0.0,37,38244.0,47.15983571,9.533092082000001
62,POL,634,7.0,1.0,626,38476269.0,51.934829,19.12547815
63,TUN,75,3.0,1.0,71,11403800.0,33.78217031,9.521981648999999
64,BIH,126,1.0,2.0,123,3856181.0,43.91899994,17.66809941
65,SVN,414,2.0,0.0,412,1972126.0,46.14379954,14.94028141
66,ZAF,274,0.0,0.0,274,54841552.0,-28.46979258,24.69007409
67,BTN,2,0.0,0.0,2,758288.0,27.51818048,90.40745793
68,CMR,40,0.0,0.0,40,24994885.0,7.407972718,12.35086043
69,COL,231,2.0,3.0,226,47698524.0,4.114416812,-72.93652033
70,CRI,134,2.0,2.0,130,4930258.0,9.61548248,-84.21760006
71,PER,363,5.0,1.0,357,31036656.0,-9.190602483,-75.01090501
72,SRB,222,2.0,1.0,219,7111024.0,44.20522468,20.91828861
73,SVK,185,1.0,7.0,177,5445829.0,48.67589305,19.69205855
74,TGO,16,0.0,1.0,15,7965055.0,8.617735497,0.8081207690000001
75,MLT,90,0.0,2.0,88,416338.0,35.88346996,14.44532311
76,MTQ,37,1.0,0.0,36,,14.6415,-61.0242
77,BGR,187,3.0,3.0,181,7101510.0,42.7339153,25.47427474
78,MDV,13,0.0,0.0,13,392709.0,4.2131755769999994,73.52910604
79,BGD,27,2.0,3.0,22,157826578.0,23.73811778,90.33232039
80,PRY,22,1.0,0.0,21,6943739.0,-23.43368479,-58.44782304
81,ALB,89,2.0,2.0,85,3047987.0,41.1124529,20.15435592
82,CYP,95,1.0,3.0,91,1221549.0,34.91075334,33.1971429
83,BRN,88,0.0,2.0,86,443593.0,4.510995487,114.66157539999999
84,USA,221,6.0,0.0,215,8535519.0,37.99530438,-79.76028754
85,USA,190,2.0,0.0,188,3080156.0,38.50182294,-117.02047730000001
86,USA,51,0.0,0.0,51,1934408.0,41.50023602,-99.68549199
87,USA,83,0.0,0.0,83,1059361.0,41.66332011,-71.48453226
88,USA,48,0.0,0.0,48,1415872.0,20.58419053,-157.3011377
89,BFA,75,4.0,5.0,66,20107509.0,12.23080495,-1.56620459
90,VAT,1,0.0,0.0,1,1000.0,41.90333334,12.45353333
91,MNG,10,0.0,0.0,10,3068243.0,46.85141785,103.855035
92,PAN,245,3.0,0.0,242,3753142.0,8.420921827,-80.07274339
93,USA,64,2.0,0.0,62,2913314.0,38.49995526,-98.33450322
94,USA,52,2.0,0.0,50,623989.0,43.87150381,-72.47219594
95,USA,21,0.0,0.0,21,731545.0,61.51689281,0.783559604
96,USA,165,0.0,0.0,165,3017804.0,34.75538739,-92.1428162
97,USA,28,0.0,0.0,28,762062.0,47.46721086,-100.301958
98,CHN,67800,3144.0,59433.0,5223,59170000.0,31.16640544,112.2639283
99,IRN,21638,1685.0,7931.0,12022,82021564.0,32.41265122,53.66311161
100,KOR,8897,104.0,2909.0,5884,51181299.0,35.91235993,127.85698490000001
101,CHN,1407,8.0,1329.0,70,113460000.0,22.87678376,113.41792350000001
102,CHN,1273,22.0,1250.0,1,96050000.0,33.87707978,113.48442220000001
103,CHN,1237,1.0,1219.0,17,57370000.0,29.189050399999996,120.16413600000001
104,CHN,1018,4.0,1014.0,0,68990000.0,27.36941498,111.5090906
105,CHN,990,6.0,984.0,0,63240000.0,32.02378205,117.2581712
106,CHN,936,1.0,934.0,1,46480000.0,27.27513133,116.0191771
107,CHN,766,7.0,750.0,9,100470000.0,36.33507594,118.74515420000002
108,CHN,633,0.0,631.0,2,80510000.0,32.93481171,119.1496372
109,CHN,577,6.0,570.0,1,31020000.0,30.19871257,107.73296450000001
110,CHN,543,3.0,536.0,4,83410000.0,30.16521332,102.93966540000001
111,CHN,484,13.0,466.0,5,37730000.0,48.50194977,127.97325320000002
112,DNK,1395,13.0,1.0,1381,5605948.0,56.109869700000004,11.62891686
113,CHN,514,8.0,400.0,106,21540000.0,40.23657532,116.4278085
114,CHN,394,4.0,328.0,62,24240000.0,31.26615855,121.4315372
115,CHN,319,6.0,310.0,3,75560000.0,39.32382742,116.65206140000001
116,CHN,307,1.0,295.0,11,39410000.0,25.97115964,118.1322771
117,CHN,254,2.0,250.0,2,49260000.0,23.89994925,108.27096780000001
118,CHN,248,3.0,239.0,6,38640000.0,35.63509909,108.36171170000001
119,CHN,176,2.0,172.0,2,48300000.0,25.17912273,101.85510579999999
120,CHN,168,6.0,161.0,1,9340000.0,19.15076325,109.8128768
121,CHN,146,2.0,144.0,0,36000000.0,26.9387436,106.60127649999998
122,CHN,137,3.0,133.0,1,15600000.0,39.40813752,117.3450864
123,CHN,133,0.0,133.0,0,37180000.0,37.66312775,112.3891919
124,CHN,136,2.0,114.0,20,26370000.0,37.69770367,100.7380426
125,HKG,317,4.0,100.0,213,7191503.0,22.41313304,114.2102157
126,CHN,126,2.0,124.0,0,43590000.0,41.09091391,122.31055020000001
127,CHN,93,1.0,92.0,0,27040000.0,43.56576924,126.47365479999999
128,CZE,1120,1.0,6.0,1113,10674723.0,49.80312398,15.54003809
129,CHN,76,3.0,73.0,0,24870000.0,41.7528991,84.98429809999999
130,CHN,75,1.0,74.0,0,25000034.0,45.35383135,111.62347220000001
131,CHN,75,0.0,75.0,0,6880000.0,37.31081076,106.0080827
132,TWN,169,2.0,28.0,139,23508428.0,23.59845612,120.9825952
133,VNM,113,0.0,17.0,96,96160163.0,15.94176809,105.79183619999999
134,RUS,367,0.0,16.0,351,142257519.0,61.2407425,4.26e-14
135,CHN,18,0.0,18.0,0,6030000.0,35.43499502,96.23774885
136,MAC,20,0.0,10.0,10,601969.0,22.13420238,113.55058840000001
137,MDA,94,1.0,1.0,92,3474121.0,46.9670697,28.28525496
138,BOL,24,0.0,0.0,24,11138234.0,-16.28693756,-63.58694088
139,FRO,115,0.0,0.0,115,50730.0,62.08268871,-6.969105598
140,FRA,4,0.0,0.0,4,,18.07776462,-63.06228647
141,HND,26,0.0,0.0,26,9038741.0,14.48474763,-86.24603266
142,GBR,32,0.0,0.0,32,,49.3723,-2.3644
143,CHN,1,0.0,1.0,0,3440000.0,31.88221487,88.74489831
144,COD,30,1.0,0.0,29,83301151.0,-4.029468689,21.72668379
145,CIV,14,0.0,1.0,13,24184810.0,7.533667911,-5.536220662000001
146,FRA,3,0.0,0.0,3,9793.0,17.90350983,-62.82453366
147,JAM,16,1.0,2.0,13,2990561.0,18.11774323,-77.30223548
148,TUR,1236,30.0,0.0,1206,80845215.0,38.95576284,35.42547438
149,GBR,15,0.0,2.0,13,32194.0,36.13020456,-5.348580121
150,CUB,35,1.0,0.0,34,11147407.0,21.52810293,-79.28561357
151,GUY,7,1.0,0.0,6,737718.0,4.88790904,-58.93071346
152,GBR,5683,281.0,65.0,5337,64769452.0,55.19161612,-3.192432722
153,KAZ,60,0.0,0.0,60,18556698.0,47.96872691,66.9015542
154,FRA,15,0.0,0.0,15,,-17.6797,149.4068
155,ETH,11,0.0,4.0,7,105350020.0,9.170952963,40.4844845
156,SDN,2,1.0,0.0,1,37345935.0,15.34252047,30.2055109
157,GIN,2,0.0,0.0,2,12413867.0,9.955672506,-11.35628923
158,KEN,15,0.0,0.0,15,47615739.0,0.152107845,37.88929407
159,ATG,1,0.0,0.0,1,94731.0,17.09865957,-61.78465736
160,URY,135,0.0,0.0,135,3360148.0,-32.53597035,-55.78074846
161,GHA,24,1.0,0.0,23,27499924.0,7.936054182,-1.038557295
162,USA,23,1.0,0.0,22,3193694.0,,
163,NAM,3,0.0,0.0,3,2484780.0,-22.95521271,18.48870101
164,SYC,7,0.0,0.0,7,93920.0,-4.684261,55.46512857
165,TTO,50,0.0,1.0,49,1218208.0,10.4515445,-61.33045407
166,VEN,70,0.0,15.0,55,31304016.0,6.444529931,-66.59670549
167,SWZ,4,0.0,0.0,4,1467152.0,-26.52995575,31.45154749
168,GAB,5,1.0,0.0,4,1772255.0,-0.8136401409999999,11.64964705
169,GTM,19,1.0,0.0,18,15460732.0,15.7733759,-90.23359658
170,MRT,2,0.0,0.0,2,19245344.0,17.60656209,8.053466634
171,RWA,19,0.0,0.0,19,11901484.0,-1.943601176,29.8733234
172,LCA,2,0.0,0.0,2,164994.0,13.86609528,-60.98135332
173,VCT,1,0.0,0.0,1,102089.0,13.25747305,-61.19764157
174,SUR,5,0.0,0.0,5,591919.0,3.9225402710000004,-56.02702433
175,FRA,18,0.0,6.0,12,,3.92765705,-53.13299882
176,USA,27,1.0,0.0,26,,,
177,XKX,2,0.0,0.0,2,1895250.0,42.52182424,20.90180383
178,CAF,3,0.0,0.0,3,5625118.0,6.618641052999999,20.91950301
179,COG,3,0.0,0.0,3,4954674.0,-0.655677387,14.87020174
180,GNQ,6,0.0,0.0,6,778358.0,2.3796428240000003,9.893273556
181,UZB,43,0.0,0.0,43,29748859.0,41.37379354,64.48963424
182,NLD,4204,179.0,2.0,4023,17084719.0,52.105282700000004,5.272002683
183,BEN,2,0.0,0.0,2,11038805.0,9.306569115,2.303094116
184,LBR,3,0.0,0.0,3,4689021.0,6.41994936,-9.434906172
185,NLD,3,1.0,0.0,2,,12.19135163,-68.97252357
186,SOM,1,0.0,0.0,1,7531386.0,5.146407827,46.12904177
187,TZA,12,0.0,0.0,12,53950935.0,-6.362582092,34.87894555
188,USA,3,0.0,0.0,3,,,
189,GBR,3,1.0,0.0,2,,19.3296086,-81.21929896
190,FRA,47,0.0,0.0,47,,-21.1351,55.2471
191,BRB,14,0.0,0.0,14,292336.0,13.18988679,-59.54055742
192,MNE,21,0.0,0.0,21,642550.0,42.69257925,19.39135339
193,KGZ,14,0.0,0.0,14,5789122.0,41.25042898,74.71831222
194,MUS,18,1.0,0.0,17,1356388.0,-20.25571054,57.57675215
195,NLD,8,0.0,0.0,8,,12.5186,-70.0358
196,ZMB,3,0.0,0.0,3,15972000.0,-13.12997264,27.82704004
197,DJI,1,0.0,0.0,1,865267.0,11.83929383,42.58024886
198,GMB,1,0.0,0.0,1,2051363.0,13.44249665,-15.34036872
199,GBR,1,0.0,0.0,1,,16.75798546,-62.19774556
200,"Bahamas, The",4,0.0,0.0,4,,25.03534577,-77.40302487
201,DNK,4,0.0,0.0,4,,77.31684744,-36.7446107
202,FRA,4,0.0,0.0,4,,-20.9043,165.618
203,GBR,2,0.0,0.0,2,,32.30135134,-64.75903561
204,TCD,1,0.0,0.0,1,12075985.0,15.45135773,18.71679508
205,SLV,3,0.0,0.0,3,6172011.0,13.7870573,-88.90583472
206,FJI,2,0.0,0.0,2,920938.0,-17.19878972,178.6258191
207,NIC,2,0.0,0.0,2,6025951.0,12.87451243,-85.38847946
208,MDG,3,0.0,0.0,3,25054161.0,-18.79212819,46.86341393
209,HTI,2,0.0,0.0,2,10646714.0,18.99158356,-73.06413835
210,AGO,2,0.0,0.0,2,29310273.0,-11.21130422,17.89885628
211,CPV,3,0.0,0.0,3,560899.0,16.0660668,-23.99946042
212,NLD,1,0.0,0.0,1,,18.04775567,-63.06228647
213,NER,2,0.0,0.0,2,19245344.0,17.60656209,8.053466634
214,PNG,1,0.0,0.0,1,6909701.0,-6.775160414,148.3913263
215,GBR,5,0.0,0.0,5,,54.23065827,-4.541391568
216,ZWE,3,0.0,0.0,3,13805084.0,-19.00607391,29.12944116
217,Cape Verde,1,0.0,0.0,1,560899.0,16.0660668,-23.99946042
218,East Timor,1,0.0,0.0,1,1291358.0,-8.898868302999999,125.66663659999999
219,ERI,1,0.0,0.0,1,5918919.0,15.18242503,39.77066674
220,UGA,1,0.0,0.0,1,39570125.0,1.375033468,32.26733748
221,DMA,1,0.0,0.0,1,73897.0,15.39052969,-61.37279212
222,GRD,1,0.0,0.0,1,111724.0,12.15822989,-61.68468177
223,MOZ,1,0.0,0.0,1,26573706.0,-18.66045501,35.52850264
224,Syria,1,0.0,0.0,1,18028549.0,34.81154551,39.05741438
225,TLS,1,0.0,0.0,1,1291358.0,-8.898868302999999,125.66663659999999
226,AUS,469,,,469,8089526.0,-32.82977855,147.31536640000002
227,AUS,4,,,4,245869.0,-18.51615732,133.5001513
228,AUS,67,,,67,1751693.0,-32.03524098,135.0000995
229,AUS,9,,,9,534281.0,-41.60023366,146.1613469
230,AUS,90,,,90,2621680.0,-24.40789153,120.9597801
231,AUS,1098,,,1098,23232413.0,-27.17176686,133.4376479
232,CAN,424,,,424,5071000.0,54.15716767,-126.56202340000002
233,CAN,226,,,226,4067175.0,54.49628673,-115.0001685
234,CAN,25,,,25,1098352.0,54.4963384,-105.6821562
235,CAN,11,,,11,1278365.0,54.49636851,-95.47429874
236,CAN,377,,,377,13448494.0,49.26501414,-84.753375
237,CAN,202,,,202,8164361.0,53.79378897,-68.38833574
238,CAN,3,,,3,519716.0,53.46112743,-60.218441000000006
239,CAN,9,,,9,747101.0,46.36274594,-66.43830941
240,CAN,9,,,9,923598.0,45.26687246,-63.02120928
241,CAN,2,,,2,142907.0,46.49290599,-63.21041826
242,CAN,0,,,0,35874.0,64.82713024,-132.41233359999998
243,CAN,1,,,1,41786.0,69.3832012,-119.22198190000002
244,CAN,0,,,0,35944.0,67.5274112,-90.88314938
245,CAN,1302,,,1302,,,
246,ESP,1725,47.0,72.0,1606,,36.52305393,-5.760709741
247,ESP,532,24.0,0.0,508,,42.13482815,-0.080499294
248,ESP,545,8.0,16.0,521,,,
249,ESP,331,4.0,11.0,316,,,
250,ESP,414,9.0,7.0,398,,,
251,ESP,282,5.0,11.0,266,,43.13970978,-3.99123588
252,ESP,1744,74.0,54.0,1616,,41.68636903,-6.152125149
253,ESP,1819,112.0,38.0,1669,,38.72426611,-1.891637433
254,ESP,4704,191.0,150.0,4363,,42.03562612,1.085542222
255,ESP,1604,69.0,25.0,1510,,,
256,ESP,384,14.0,8.0,362,,39.75451444,-6.250120712999999
257,ESP,915,12.0,6.0,897,,42.19553303,-7.548853927000001
258,ESP,9702,1021.0,1542.0,7139,,,
259,ESP,296,1.0,1.0,294,,,
260,ESP,794,14.0,1.0,779,,,
261,ESP,2097,97.0,165.0,1835,,43.14304221,-2.154373327
262,ESP,654,18.0,18.0,618,,42.28492575,-2.403116522
263,ESP,5,0.0,0.0,5,,35.88593067,-5.345359091000001
264,ESP,25,0.0,0.0,25,,35.29882681,-2.939916345
265,ESP,28572,1720.0,2125.0,24727,48958159.0,35.73847077,-6.849639452000001
266,FRA,65,0.0,,65,,-21.11532969,55.5399683
267,FRA,3,0.0,,3,,,
268,FRA,6,0.0,,6,,,
269,FRA,18,0.0,,18,,,
270,FRA,5,0.0,,5,,,
271,FRA,58,0.0,,58,,16.1968041,-61.49286862
272,FRA,44,0.0,,44,,14.66917552,-61.01962236
273,FRA,20,0.0,,20,,,
274,FRA,11,0.0,,11,,-12.85605234,45.1501571
275,FRA,5283,0.0,,5283,,,
276,FRA,291,2.0,,289,,,
277,FRA,0,51.0,,-51,,,
278,FRA,462,9.0,,453,,,
279,FRA,943,97.0,,846,,,
280,FRA,3395,0.0,,3395,,,
281,FRA,270,0.0,,270,,46.68028475,-1.34208966
282,FRA,397,0.0,,397,,47.83005412,-2.8911004210000004
283,FRA,593,8.0,,585,,,
284,FRA,671,0.0,,671,,,
285,FRA,1431,72.0,,1359,,,
286,FRA,1316,15.0,,1301,,,
287,FRA,183,0.0,,183,,42.42572716,9.065033398999999
288,FRA,21844,254.0,,21590,67106161.0,14.86200078,-2.988270637
289,ITA,587,33.0,15.0,539,1311580.0,42.28841046,13.90075073
290,ITA,81,0.0,0.0,81,562869.0,40.51736166,16.10092822
291,ITA,678,23.0,7.0,648,107436.0,46.65500434,11.41939857
292,ITA,273,8.0,5.0,260,1947131.0,39.02984012,16.41835198
293,ITA,936,29.0,41.0,866,5801692.0,40.74896506,14.7839394
294,ITA,7555,816.0,349.0,6390,4459477.0,44.43551924,10.97741836
295,ITA,874,47.0,89.0,738,1215220.0,46.11416103,13.12040802
296,ITA,1383,53.0,58.0,1272,5879082.0,41.81177672,12.7386403
297,ITA,1665,171.0,143.0,1351,1550640.0,44.22635346,8.783353307
298,ITA,27206,3456.0,5865.0,17885,10060574.0,45.65756679,9.962539733
299,ITA,2421,184.0,6.0,2231,1525271.0,43.32789559,13.05109022
300,ITA,66,7.0,7.0,52,305617.0,41.716894200000006,14.551257199999998
301,ITA,4420,283.0,10.0,4127,4356406.0,45.26102183,7.920205809
302,ITA,786,31.0,7.0,748,4029053.0,41.01013715,16.72669963
303,ITA,339,7.0,5.0,327,1639591.0,40.086403499999996,8.980454405
304,ITA,630,8.0,26.0,596,4999891.0,37.15296765,13.78962611
305,ITA,2277,91.0,42.0,2144,3729641.0,43.35572962,11.02809015
306,ITA,954,35.0,34.0,885,1072276.0,46.10760285,11.21490598
307,ITA,521,16.0,5.0,500,882015.0,42.99086726,12.5780271
308,ITA,364,9.0,1.0,354,125666.0,45.72671177,7.370415336000001
309,ITA,5122,169.0,309.0,4644,4905854.0,45.73714698,11.86293818
310,ITA,59138,5476.0,7024.0,46638,62137802.0,41.82606171,12.56007714
311,AUS,19,,,19,426709.0,-35.53036325,149.0602352
312,AUS,259,,,259,5095100.0,-19.64674041,145.7543645
313,AUS,296,,,296,6594804.0,-36.53778879,145.4695804
314,DEU,353,1.0,,352,3740000.0,13.405,52.52
315,DEU,1071,1.0,,1070,3740000.0,52.51364248,13.42151187
316,DEU,3818,23.0,,3795,11020000.0,48.65924504,8.994572384
317,DEU,4457,22.0,,4435,13000000.0,48.89555052,11.41300358
318,DEU,168,0.0,,168,548000.0,53.11820506,8.777195875
319,DEU,1267,3.0,,1264,6240000.0,50.52562429,9.000825636
320,DEU,887,1.0,,886,1822000.0,53.55885,10.03439508
321,DEU,182,0.0,,182,1635000.0,53.84696018,12.49625263
322,DEU,1586,4.0,,1582,7960000.0,52.60172557,9.138207028
323,DEU,7361,32.0,,7329,17910000.0,51.42350306,7.694470862
324,DEU,1149,2.0,,1147,4070000.0,49.90656551,7.295141232000001
325,DEU,436,1.0,,435,2890000.0,54.13886668,9.942393426
326,DEU,301,1.0,,300,990000.0,49.36639313,6.865234526
327,DEU,731,1.0,,730,4080000.0,50.95424195,13.46238753
328,DEU,269,0.0,,269,2280000.0,51.99594798,11.88344038
329,DEU,237,0.0,,237,2140000.0,50.9308838,11.28022139
330,GBR,35,,,35,,51.54832673,0.120308261
331,GBR,88,,,88,,51.61140903,-0.21207455100000003
332,GBR,10,,,10,,53.49588354,-1.570745775
333,GBR,13,,,13,,51.34663361,-2.4966767030000003
334,GBR,4,,,4,,52.18762872,-0.453791063
335,GBR,39,,,39,,51.45065827,0.152476841
336,GBR,91,,,91,,52.47646129,-1.885848355
337,GBR,1,,,1,,53.69625764,-2.441111619
338,GBR,6,,,6,,53.83887360000001,-3.0052535380000003
339,GBR,17,,,17,,53.58462917,-2.447186449
340,GBR,12,,,12,,,
341,GBR,3,,,3,,51.40051186,-0.76757016
342,GBR,11,,,11,,53.84824613,-1.812523939
343,GBR,128,,,128,,51.56151714,-0.252265896
344,GBR,17,,,17,,50.83370545,-0.095683654
345,GBR,23,,,23,,,
346,GBR,67,,,67,,51.36398397,0.044925266
347,GBR,44,,,44,781167.0,51.77382976,-0.804803229
348,GBR,14,,,14,,53.58435802,-2.31388107
349,GBR,5,,,5,,53.75436778,-1.9539011830000002
350,GBR,20,,,20,830279.0,52.36338034,0.029215631000000002
351,GBR,53,,,53,,51.53439993,-0.15101884599999998
352,GBR,14,,,14,,52.00563732,-0.40933641200000004
353,GBR,18,,,18,,53.16374492,-2.315114535
354,GBR,11,,,11,,53.14869684,-2.753126457
355,GBR,20,,,20,,,
356,GBR,11,,,11,,54.67953095,-1.7996402459999998
357,GBR,14,,,14,,52.39759014,-1.547535671
358,GBR,84,,,84,,51.36696829,-0.075261197
359,GBR,79,,,79,497874.0,54.65147773,-2.894685635
360,GBR,3,,,3,,54.53258902,-1.547186855
361,GBR,23,,,23,,52.88982107,-1.4737417259999999
362,GBR,75,,,75,1032267.0,53.10898082,-1.596395738
363,GBR,43,,,43,1159832.0,50.73217421,-3.746852147
364,GBR,7,,,7,,53.51311636,-1.102588671
365,GBR,11,,,11,759768.0,50.836845000000004,-2.310722419
366,GBR,24,,,24,,52.49018902,-2.089965285
367,GBR,97,,,97,,51.52145498,-0.314652269
368,GBR,15,,,15,594825.0,53.88757671,-0.470229967
369,GBR,9,,,9,820842.0,50.94161367,0.370573967
370,GBR,68,,,68,,51.63913514,-0.084006604
371,GBR,53,,,53,1773154.0,51.80133015,0.638499688
372,GBR,3,,,3,,54.94435801,-1.672893334
373,GBR,29,,,29,882888.0,51.84146129,-2.158941617
374,GBR,61,,,61,,51.46716889,0.048684726
375,GBR,64,,,64,,,
376,GBR,7,,,7,,53.36095164,-3.05581237
377,GBR,51,,,51,,51.4995571,-0.207850002
378,GBR,156,,,156,1800511.0,51.055282899999995,-1.340597399
379,GBR,57,,,57,,51.58391887,-0.096332261
380,GBR,103,,,103,,51.59336274,-0.33329454199999997
381,GBR,2,,,2,,54.66602009,-1.290542151
382,GBR,35,,,35,,51.55322307,0.23417728
383,GBR,7,,,7,,,
384,GBR,92,,,92,1154766.0,51.83029918,-0.257808194
385,GBR,63,,,63,,51.53432242,-0.432500373
386,GBR,64,,,64,,51.45401724,-0.33906938299999995
387,GBR,2,,,2,139105.0,50.6811791,-1.2943416
388,GBR,54,,,54,,51.54380504,-0.109186774
389,GBR,81,,,81,,51.49734793,-0.176973335
390,GBR,48,,,48,1784369.0,51.20639796,0.739129774
391,GBR,1,,,1,,,
392,GBR,23,,,23,,51.4030126,-0.265740525
393,GBR,11,,,11,,53.64010464,-1.8024297180000002
394,GBR,4,,,4,,53.42208176,-2.8437495110000004
395,GBR,127,,,127,,51.45665274,-0.103140631
396,GBR,44,,,44,1471979.0,53.86064037,-2.532126736
